market_id,ticker,slug,ric,signal_bin,signal_bin_id,signal_value,release_dt_ny,purchase_date,event_trading_date,n_days_observed,abnormal_return,window_name,start_day,end_day
1268877,RBLX,rblx-quarterly-earnings-gaap-eps-02-05-2026-neg0pt47,RBLX.N,0.2-0.4,2,0.33,2026-02-05T21:00:00Z,2026-02-05,2026-02-06,2,0.1755397147888623,"CAR[0,1]",0,1
1268877,RBLX,rblx-quarterly-earnings-gaap-eps-02-05-2026-neg0pt47,RBLX.N,0.2-0.4,2,0.33,2026-02-05T21:00:00Z,2026-02-05,2026-02-06,4,0.12127996081961191,"CAR[0,3]",0,3
1268877,RBLX,rblx-quarterly-earnings-gaap-eps-02-05-2026-neg0pt47,RBLX.N,0.2-0.4,2,0.33,2026-02-05T21:00:00Z,2026-02-05,2026-02-06,6,0.058806400639859265,"CAR[0,5]",0,5
1288099,GRAB,grab-quarterly-earnings-gaap-eps-02-11-2026-0pt01,GRAB.N,0.2-0.4,2,0.28,2026-02-11T21:00:00Z,2026-02-11,2026-02-12,11,0.05543687081685288,"CAR[-5,5]",-5,5
1288099,GRAB,grab-quarterly-earnings-gaap-eps-02-11-2026-0pt01,GRAB.N,0.2-0.4,2,0.28,2026-02-11T21:00:00Z,2026-02-11,2026-02-12,1,0.03521269249110306,AR[0],0,0
1288099,GRAB,grab-quarterly-earnings-gaap-eps-02-11-2026-0pt01,GRAB.N,0.2-0.4,2,0.28,2026-02-11T21:00:00Z,2026-02-11,2026-02-12,2,0.006346657572686255,"CAR[0,1]",0,1
1288099,GRAB,grab-quarterly-earnings-gaap-eps-02-11-2026-0pt01,GRAB.N,0.2-0.4,2,0.28,2026-02-11T21:00:00Z,2026-02-11,2026-02-12,4,0.07168495472627766,"CAR[0,3]",0,3
1288099,GRAB,grab-quarterly-earnings-gaap-eps-02-11-2026-0pt01,GRAB.N,0.2-0.4,2,0.28,2026-02-11T21:00:00Z,2026-02-11,2026-02-12,6,0.05218330979159803,"CAR[0,5]",0,5
1293498,DKNG,dkng-quarterly-earnings-nongaap-eps-02-12-2026-0pt4,DKNG.N,0.2-0.4,2,0.33,2026-02-12T21:15:01Z,2026-02-12,2026-02-13,11,-0.13830814903924504,"CAR[-5,5]",-5,5
1293498,DKNG,dkng-quarterly-earnings-nongaap-eps-02-12-2026-0pt4,DKNG.N,0.2-0.4,2,0.33,2026-02-12T21:15:01Z,2026-02-12,2026-02-13,1,-0.13452992762653268,AR[0],0,0
