"model_class","model","term","estimate","std.error","statistic","p.value","conf.low","conf.high","stars","term_label","outcome_group","spec_group","conf.low_boot","conf.high_boot","n_boot","n_boot_success","conf.low_hc3","conf.high_hc3","model_plot"
"Fractional logit","Mean loss | Full","log_volatility_6m",-9.03961097039762,6.58399128850205,-1.37296824590032,0.169762218554885,-22.1492682212122,3.7175045564766,"","log(6m stock volatility)","Mean loss across selected horizons","Full",-22.1492682212122,3.7175045564766,25000,25000,-21.9439967703871,3.86477482959186,"Mean loss | Full"
"Fractional logit","Mean loss | Full","open_time_days",-0.010674932461447,0.0152336682595571,-0.70074602384425,0.48346152835846,-0.0412547157736849,0.0183551126033134,"","Market open-to-resolution (days)","Mean loss across selected horizons","Full",-0.0412547157736849,0.0183551126033134,25000,25000,-0.0405323736026099,0.0191825086797159,"Mean loss | Full"
"Fractional logit","Loss at 6h | Ex-ante","eps_stddev",1.08931716819764,0.761895837620638,1.42974553004454,0.152790067555934,-0.440499295070079,2.52955658732906,"","Std. dev. of analyst estimates","Loss at 6h","Ex-ante",-0.440499295070079,2.52955658732906,25000,25000,-0.403971233509782,2.58260556990507,"Loss at 6h | Ex-ante"
"Fractional logit","Loss at 6h | Ex-ante","log_market_cap",-0.114504253522386,0.0603209720890633,-1.89824947372071,0.0576632263861792,-0.235135567997156,0.00240838429136904,"*","log(Market cap)","Loss at 6h","Ex-ante",-0.235135567997156,0.00240838429136904,25000,25000,-0.232731186329396,0.00372267928462369,"Loss at 6h | Ex-ante"
"Fractional logit","Loss at 6h | Ex-ante","analysts",-0.00103359211949241,0.00848806287759553,-0.121770082808953,0.903081108052166,-0.0179396294228727,0.0153442233396712,"","Analysts covering","Loss at 6h","Ex-ante",-0.0179396294228727,0.0153442233396712,25000,25000,-0.0176698896580911,0.0156027054191062,"Loss at 6h | Ex-ante"
"Fractional logit","Loss at 6h | Ex-ante","log_turnover",0.0420204142527265,0.030206545965464,1.3911029185783,0.164194219992024,-0.015456794176542,0.103222142577741,"","log(6m avg. daily turnover + 1)","Loss at 6h","Ex-ante",-0.015456794176542,0.103222142577741,25000,25000,-0.0171833279369366,0.10122415644239,"Loss at 6h | Ex-ante"
"Fractional logit","Loss at 6h | Ex-ante","log_volatility_6m",-6.06309381425247,7.87865540317386,-0.769559462114562,0.44156125945639,-22.0740298682494,9.01742173448023,"","log(6m stock volatility)","Loss at 6h","Ex-ante",-22.0740298682494,9.01742173448023,25000,25000,-21.5049746510751,9.37878702257019,"Loss at 6h | Ex-ante"
"Fractional logit","Loss at 6h | Ex-ante","open_time_days",-0.00849708820579697,0.0168557479597816,-0.50410626844156,0.614186702217496,-0.0424972112745744,0.0242384807315515,"","Market open-to-resolution (days)","Loss at 6h","Ex-ante",-0.0424972112745744,0.0242384807315515,25000,25000,-0.0415337471394535,0.0245395707278595,"Loss at 6h | Ex-ante"
"Fractional logit","Loss at 6h | Full","log_volume",-0.0298419068317809,0.255014183247374,-0.117020576862711,0.906843747529485,-0.505643638734262,0.475031039941608,"","log(Polymarket volume + 1)","Loss at 6h","Full",-0.505643638734262,0.475031039941608,25000,25000,-0.529660521543532,0.46997670787997,"Loss at 6h | Full"
"Fractional logit","Loss at 6h | Full","log_volume_per_analyst",0.0919995479917208,0.227504062780876,0.404386395861122,0.685928602506638,-0.370907387276047,0.507789877686107,"","log(Polymarket volume / analysts + 1)","Loss at 6h","Full",-0.370907387276047,0.507789877686107,25000,25000,-0.353900221395335,0.537899317378777,"Loss at 6h | Full"
"Fractional logit","Loss at 6h | Full","eps_stddev",1.79154477338361,0.853321235562296,2.09949629602628,0.0357731739909451,0.13183619547766,3.46108748233367,"**","Std. dev. of analyst estimates","Loss at 6h","Full",0.13183619547766,3.46108748233367,25000,25000,0.119065884438293,3.46402366232893,"Loss at 6h | Full"
"Fractional logit","Loss at 6h | Full","surprise",-2.41423555063884,0.425319582665248,-5.67628590132186,0.0000000137650646256894,-3.32329169457203,-1.66218595219006,"***","Earnings surprise","Loss at 6h","Full",-3.32329169457203,-1.66218595219006,25000,25000,-3.24784661458234,-1.58062448669535,"Loss at 6h | Full"
"Fractional logit","Loss at 6h | Full","log_market_cap",-0.0742786734319152,0.067599668692206,-1.09880232949247,0.271854295913144,-0.204916569310643,0.0552206401642383,"","log(Market cap)","Loss at 6h","Full",-0.204916569310643,0.0552206401642383,25000,25000,-0.206771589435479,0.0582142425716484,"Loss at 6h | Full"
"Fractional logit","Loss at 6h | Full","analysts",0.00262997452912214,0.0147259563987519,0.178594480243405,0.858256128935091,-0.0271168560708926,0.0297068525986176,"","Analysts covering","Loss at 6h","Full",-0.0271168560708926,0.0297068525986176,25000,25000,-0.0262323696503388,0.031492318708583,"Loss at 6h | Full"
"Fractional logit","Loss at 6h | Full","log_turnover",0.0430430514626906,0.031839421293933,1.35187920236768,0.176413961735983,-0.0172580302982302,0.107003149418651,"","log(6m avg. daily turnover + 1)","Loss at 6h","Full",-0.0172580302982302,0.107003149418651,25000,25000,-0.0193610675620157,0.105447170487397,"Loss at 6h | Full"
"Fractional logit","Loss at 6h | Full","log_volatility_6m",-6.50465174566493,8.30530945951971,-0.783191978260265,0.433514384804768,-22.9814118812433,9.52109481698432,"","log(6m stock volatility)","Loss at 6h","Full",-22.9814118812433,9.52109481698432,25000,25000,-22.7827591667834,9.77345567545351,"Loss at 6h | Full"
"Fractional logit","Loss at 6h | Full","open_time_days",-0.0118676621221314,0.0173275038895292,-0.68490315730374,0.493405033525289,-0.0464018528237803,0.0212863720754884,"","Market open-to-resolution (days)","Loss at 6h","Full",-0.0464018528237803,0.0212863720754884,25000,25000,-0.0458289456875864,0.0220936214433236,"Loss at 6h | Full"
"Fractional probit","Mean loss | Ex-ante","eps_stddev",0.631458228579723,0.368052917372504,1.71567239050201,0.0862220207961998,-0.107317067290104,1.35072680603404,"*","Std. dev. of analyst estimates","Mean loss across selected horizons","Ex-ante",-0.107317067290104,1.35072680603404,25000,25000,-0.0899122338752817,1.35282869103473,"Mean loss | Ex-ante"
"Fractional probit","Mean loss | Ex-ante","log_market_cap",-0.0622223552802508,0.0300476518886602,-2.07078927534211,0.0383784929055076,-0.123678373961075,-0.00357669507830454,"**","log(Market cap)","Mean loss across selected horizons","Ex-ante",-0.123678373961075,-0.00357669507830454,25000,25000,-0.121114670802022,-0.00333003975847979,"Mean loss | Ex-ante"
